Data,Nivel
16-04-2019 08:00,2.187
16-04-2019 09:00,2.187
16-04-2019 10:00,2.186
16-04-2019 11:00,2.179
16-04-2019 12:00,2.181
16-04-2019 13:00,2.163
16-04-2019 14:00,2.172
16-04-2019 15:00,2.157
16-04-2019 16:00,2.143
16-04-2019 17:00,2.145
16-04-2019 18:00,2.131
16-04-2019 19:00,2.134
16-04-2019 20:00,2.137
16-04-2019 21:00,2.221
16-04-2019 22:00,2.255
16-04-2019 23:00,2.260
17-04-2019 00:00,2.264
17-04-2019 01:00,2.257
17-04-2019 02:00,2.257
17-04-2019 03:00,2.257
17-04-2019 04:00,2.254
17-04-2019 05:00,2.254
17-04-2019 06:00,2.257
17-04-2019 07:00,2.264
17-04-2019 08:00,2.268
17-04-2019 09:00,2.278
17-04-2019 10:00,2.284
17-04-2019 11:00,2.286
17-04-2019 12:00,2.285
17-04-2019 13:00,2.275
17-04-2019 14:00,2.279
17-04-2019 15:00,2.272
17-04-2019 16:00,2.275
17-04-2019 17:00,2.270
17-04-2019 18:00,2.262
17-04-2019 19:00,2.254
17-04-2019 20:00,2.263
17-04-2019 21:00,2.269
17-04-2019 22:00,2.266
17-04-2019 23:00,2.272
18-04-2019 00:00,2.270
18-04-2019 01:00,2.276
18-04-2019 02:00,2.278
18-04-2019 03:00,2.288
18-04-2019 04:00,2.282
18-04-2019 05:00,2.284
18-04-2019 06:00,2.287
18-04-2019 07:00,2.290
18-04-2019 08:00,2.297
18-04-2019 09:00,2.300
18-04-2019 10:00,2.309
18-04-2019 11:00,2.308
18-04-2019 12:00,2.306
18-04-2019 13:00,2.300
18-04-2019 14:00,2.296
18-04-2019 15:00,2.285
18-04-2019 16:00,2.277
18-04-2019 17:00,2.264
18-04-2019 18:00,2.251
18-04-2019 19:00,2.245
18-04-2019 20:00,2.258
18-04-2019 21:00,2.255
18-04-2019 22:00,2.239
18-04-2019 23:00,2.241
19-04-2019 00:00,2.236
19-04-2019 01:00,2.229
19-04-2019 02:00,2.215
19-04-2019 03:00,2.201
19-04-2019 04:00,2.193
19-04-2019 05:00,2.186
19-04-2019 06:00,2.181
19-04-2019 07:00,2.172
19-04-2019 08:00,2.170
19-04-2019 09:00,2.163
19-04-2019 10:00,2.162
19-04-2019 11:00,2.160
19-04-2019 12:00,2.137
19-04-2019 13:00,2.126
19-04-2019 14:00,2.113
19-04-2019 15:00,2.105
19-04-2019 16:00,2.082
19-04-2019 17:00,2.067
19-04-2019 18:00,2.051
19-04-2019 19:00,2.051
19-04-2019 20:00,2.039
19-04-2019 21:00,2.032
19-04-2019 22:00,2.033
19-04-2019 23:00,2.019
20-04-2019 00:00,2.014
20-04-2019 01:00,2.011
20-04-2019 02:00,2.005
20-04-2019 03:00,1.995
20-04-2019 04:00,1.991
20-04-2019 05:00,1.995
20-04-2019 06:00,1.991
20-04-2019 07:00,1.989
20-04-2019 08:00,2.007
20-04-2019 09:00,1.999
20-04-2019 10:00,1.997
20-04-2019 11:00,1.999
20-04-2019 12:00,1.985
20-04-2019 13:00,1.974
20-04-2019 14:00,1.955
20-04-2019 15:00,1.955
20-04-2019 16:00,1.942
20-04-2019 17:00,1.936
20-04-2019 18:00,1.923
20-04-2019 19:00,1.919
20-04-2019 20:00,1.915
20-04-2019 21:00,1.921
20-04-2019 22:00,1.923
20-04-2019 23:00,1.916
21-04-2019 00:00,1.913
21-04-2019 01:00,1.906
21-04-2019 02:00,1.912
21-04-2019 03:00,1.910
21-04-2019 04:00,1.913
21-04-2019 05:00,1.911
21-04-2019 06:00,1.910
21-04-2019 07:00,1.914
21-04-2019 08:00,1.915
21-04-2019 09:00,1.922
21-04-2019 10:00,1.921
21-04-2019 11:00,1.915
21-04-2019 12:00,1.907
21-04-2019 13:00,1.897
21-04-2019 14:00,1.898
21-04-2019 15:00,1.882
21-04-2019 16:00,1.868
21-04-2019 17:00,1.876
21-04-2019 18:00,1.871
21-04-2019 19:00,1.870
21-04-2019 20:00,1.880
21-04-2019 21:00,1.873
21-04-2019 22:00,1.877
21-04-2019 23:00,1.877
22-04-2019 00:00,1.867
22-04-2019 01:00,1.869
22-04-2019 02:00,1.865
22-04-2019 03:00,1.862
22-04-2019 04:00,1.855
22-04-2019 05:00,1.859
22-04-2019 06:00,1.862
22-04-2019 07:00,1.867
22-04-2019 08:00,1.869
22-04-2019 09:00,1.874
22-04-2019 10:00,1.875
22-04-2019 11:00,1.865
22-04-2019 12:00,1.865
22-04-2019 13:00,1.852
22-04-2019 14:00,1.847
22-04-2019 15:00,1.852
22-04-2019 16:00,1.840
22-04-2019 17:00,1.824
22-04-2019 18:00,1.834
22-04-2019 19:00,1.848
22-04-2019 20:00,1.858
22-04-2019 21:00,1.868
22-04-2019 22:00,1.864
22-04-2019 23:00,1.865
23-04-2019 00:00,1.861
23-04-2019 01:00,1.862
23-04-2019 02:00,1.858
23-04-2019 03:00,1.858
23-04-2019 04:00,1.853
23-04-2019 05:00,1.851
23-04-2019 06:00,1.859
23-04-2019 07:00,1.862